Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Gokarna Forest Resort, 12183,Expedia,971,4.5,https://www.tripadvisor.com/Hotel_-g293890-d412080--Gokarna_Forest_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,false,true,true,false,Rajnikunj Gokarna, ,"Kathmandu 44600, ",27.7266369,85.3982869
Fairfield by Marriott Kathmandu, 8336,Booking.com,210,4.5,https://www.tripadvisor.com/Hotel_-g293890-d12182022--Fairfield_by_Marriott_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regio.html,true,false,true,false,Tridevi Marg,"KMC- 29, Thamel","Kathmandu 44600, ",27.7139661,85.3138562
Hotel Ganesh Himal, 2515,Booking.com,685,4.5,https://www.tripadvisor.com/Hotel_-g293890-d799255--Hotel_Ganesh_Himal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Chhetrapati,Chhetrapati,"Kathmandu 44600, ",27.7112473,85.3087748
Hotel Osho Home, 2170,Booking.com,455,5,https://www.tripadvisor.com/Hotel_-g293890-d7208497--Hotel_Osho_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Chhusya Galli,"Jyatha, Thamel","Kathmandu 44600, ",27.7115146,85.3131268
Hotel Mulberry, 11447,Expedia,104,5,https://www.tripadvisor.com/Hotel_-g293890-d12294192--Hotel_Mulberry-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Jyatha, Thamel", ,"Kathmandu 44600, ",27.7117549,85.3129755
The Sparkling Turtle Backpackers Hostel, 1237,Booking.com,234,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2258723--The_Sparkling_Turtle_Backpackers_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centra.html,true,true,false,false,15 Swoyambhu,Buddha Park,"Kathmandu 44600, ",27.7147791,85.2903796
Oasis Kathmandu Hotel, 3699,Booking.com,517,5,https://www.tripadvisor.com/Hotel_-g293890-d12473656--Oasis_Kathmandu_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Keshar Mahal Marg,Thamel,"Kathmandu 44600, ",27.7149246,85.3140593
Kathmandu Eco Hotel, 3039,Booking.com,784,5,https://www.tripadvisor.com/Hotel_-g293890-d3656307--Kathmandu_Eco_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Thamel, ,"Kathmandu 44600, ",27.7153902,85.3123293
Hotel Moonlight, 5112,Expedia,304,4.5,https://www.tripadvisor.com/Hotel_-g293890-d654253--Hotel_Moonlight-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Paknajol, Thamel", ,"Kathmandu 6667, ",27.716776,85.308618
Pilgrims Guest House, 1489,Booking.com,443,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1490368--Pilgrims_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Thamel, Lekhnath Marg","Kathmandu, Nepal","Kathmandu 19549, ",27.717805,85.311344
Aria Boutique Hotel & Spa, 4784,Expedia,324,4.5,https://www.tripadvisor.com/Hotel_-g293890-d3726483--Aria_Boutique_Hotel_Spa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"JP Road, Thamel",Thamel,"Kathmandu 44600, ",27.7119715,85.3097835
Alpine Hotel & Apartment, 1893,Expedia,359,5,https://www.tripadvisor.com/Hotel_-g293890-d6996491--Alpine_Hotel_Apartment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Chaksibari Marg,Thamel,"Kathmandu 44600, ",27.7151898,85.3103681
Hotel Horizon, 1306,Booking.com,188,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2572772--Hotel_Horizon-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,16 J.P. Road Chaksibarimarga,Thamel,"Kathmandu 44600, ",27.712696,85.3096318
Aryatara Kathmandu Hotel, 3391,Booking.com,639,5,https://www.tripadvisor.com/Hotel_-g293890-d7614463--Aryatara_Kathmandu_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Keshar Mahal Marg,Thamel,"Kathmandu 44600, ",27.7149246,85.3140593
Kathmandu Boutique Hotel, 1189,Expedia,392,5,https://www.tripadvisor.com/Hotel_-g293890-d7165990--Kathmandu_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false, , ,"Kathmandu 00977, ",27.7172453,85.3239605
Thamel Eco Resort, 3101,Expedia,394,4,https://www.tripadvisor.com/Hotel_-g293890-d2081408--Thamel_Eco_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Chibahal, Thamel", ,"Kathmandu 44600, ",27.7132956,85.3111405
Kathmandu Grand Hotel, 3313,Booking.com,889,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1224154--Kathmandu_Grand_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Chaksibari Marg,Thamel,"Kathmandu 10866, ",27.7151898,85.3103681
Hotel Mums Home Pvt Ltd, 2644,Booking.com,827,5,https://www.tripadvisor.com/Hotel_-g293890-d5484795--Hotel_Mums_Home_Pvt_Ltd-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Chhusya Galli, Jyatha, Thamel",next to Kantipur Temple house,"Kathmandu 44600, ",27.711352,85.313079
Kantipur Temple House, 6762,Booking.com,889,4.5,https://www.tripadvisor.com/Hotel_-g293890-d338257--Kantipur_Temple_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Chusyabahal, Jyatha Tol",Thamel,"Kathmandu 44600, ",27.7118151,85.3131469
Hotel Horizon, 1306,Booking.com,188,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2572772--Hotel_Horizon-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,16 J.P. Road Chaksibarimarga,Thamel,"Kathmandu 44600, ",27.711222,85.312873
Hotel Mi Casa, 4746,Booking.com,549,5,https://www.tripadvisor.com/Hotel_-g293890-d6216125--Hotel_Mi_Casa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Thamel-29, Tridevi Marg", ,"Kathmandu 44600, ",27.7139661,85.3138562
Hotel The Great Wall, 1420,Expedia,192,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1674237--Hotel_The_Great_Wall-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Thamel Marg,Next to Hotel Backyard,"Kathmandu 977, ",27.7177006,85.3101486
Hotel Ganesh Himal, 2515,Booking.com,685,4.5,https://www.tripadvisor.com/Hotel_-g293890-d799255--Hotel_Ganesh_Himal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Chhetrapati,Chhetrapati,"Kathmandu 44600, ",27.7112473,85.3087748
Kathmandu Madhuban Guest House, 1058,Booking.com,345,4.5,https://www.tripadvisor.com/Hotel_-g293890-d457094--Kathmandu_Madhuban_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Pakanajol Road,Thamel,"Kathmandu 44600, ",27.712653,85.308762
Khangsar Guest House, 927,Booking.com,538,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1229568--Khangsar_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true, ,Chhetrapati,"Kathmandu 25451, ",27.7112473,85.3087748
Dalai-La Boutique Hotel, 10936,Expedia,650,5,https://www.tripadvisor.com/Hotel_-g293890-d7138276--Dalai_La_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Chaksibari Marg,Thamel,"Kathmandu 44600, ",27.7151898,85.3103681
Hotel Encounter Nepal, 2330,Expedia,"1,069",4.5,https://www.tripadvisor.com/Hotel_-g293890-d550028--Hotel_Encounter_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Samakhusi Marg,"Thamel, Galkopakha","Kathmandu 44600, ",27.7187797,85.3122899
