	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
91	Buddha Garden Hotel		Booking.com	59 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2434113-Reviews-Buddha_Garden_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
92	Hotel Sunset View		Booking.com	29 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d316822-Reviews-Hotel_Sunset_View-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
93	Kantipur Temple House	NPR 6,762	Booking.com	889 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338257-Reviews-Kantipur_Temple_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
94	Heritage Home Hotel & Guest House	NPR 1,764	Expedia	78 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3198868-Reviews-Heritage_Home_Hotel_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
95	Holyland Guest House	NPR 786	Expedia	117 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1108970-Reviews-Holyland_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
96	Grand Hotel Kathmandu	NPR 5,503	Booking.com	334 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d379295-Reviews-Grand_Hotel_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	false	true	true	false
97	Hotel Pleasure Home	NPR 2,167	Booking.com	127 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1197559-Reviews-Hotel_Pleasure_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
98	Potala Guest House	NPR 2,533	Booking.com	169 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d457095-Reviews-Potala_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
99	Rama Inn Boutique Home	NPR 4,233	Booking.com	78 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d5452885-Reviews-Rama_Inn_Boutique_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
100	Radisson Hotel Kathmandu	NPR 11,767	Expedia	1,201 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d305973-Reviews-Radisson_Hotel_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
101	Tibet Guest House	NPR 2,469	Expedia	278 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338266-Reviews-Tibet_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
102	Hotel Melungtse	NPR 2,646	Expedia	68 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1793045-Reviews-Hotel_Melungtse-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
103	Park Village Hotel & Resort	NPR 4,454	Expedia	212 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d597120-Reviews-Park_Village_Hotel_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
104	Holy Lodge	NPR 1,185	Booking.com	132 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1172373-Reviews-Holy_Lodge-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
