	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
173	Hotel Amaryllis	NPR 2,164	Booking.com	394 reviews	5 of 5 bubbles	true	false	true	false
174	Norbulinka Boutique Hotel	NPR 2,800	Booking.com	264 reviews	4.5 of 5 bubbles	true	false	true	false
175	Avataar Kathmandu Hotel	NPR 3,072	Booking.com	284 reviews	4.5 of 5 bubbles	true	true	false	false
176	Hotel Access Nepal	NPR 3,915	Booking.com	365 reviews	4.5 of 5 bubbles	true	true	false	false
177	Pilgrims Guest House	NPR 1,663	Booking.com	443 reviews	4.5 of 5 bubbles	true	false	true	false
178	Hotel Mums Home Pvt Ltd	NPR 3,160	Expedia	827 reviews	5 of 5 bubbles	true	false	true	false
179	Hotel Buddha Land	NPR 1,975	Booking.com	279 reviews	4.5 of 5 bubbles	true	false	false	false
180	Hotel Nepalaya	NPR 1,561	Booking.com	660 reviews	4.5 of 5 bubbles	true	false	true	false
181	Hotel Family Home	NPR 1,027	Booking.com	617 reviews	4.5 of 5 bubbles	true	false	false	false
182	Hotel Thamel	NPR 2,944	Booking.com	401 reviews	4 of 5 bubbles	true	true	false	false
183	Hotel Buddha	NPR 2,741	Booking.com	401 reviews	4.5 of 5 bubbles	true	false	true	false
184	Hotel Osho Home	NPR 2,159	Booking.com	455 reviews	5 of 5 bubbles	true	true	false	false
185	Khangsar Guest House	NPR 923	Booking.com	538 reviews	4.5 of 5 bubbles	true	false	false	true
186	Traditional Comfort	NPR 10,356	Expedia	162 reviews	5 of 5 bubbles	true	true	false	false
187	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
188	Hotel Friends Home	NPR 2,369	Booking.com	1,402 reviews	5 of 5 bubbles	true	true	false	false
189	Hotel Shanker	NPR 5,988	Expedia	1,307 reviews	4 of 5 bubbles	true	false	true	false
190	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
191	Dwarika's Hotel	NPR 26,180	Booking.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
192	Aria Boutique Hotel & Spa	NPR 4,992	Expedia	324 reviews	4.5 of 5 bubbles	true	true	false	false
193	Hotel Shambala	NPR 8,418	Expedia	494 reviews	4.5 of 5 bubbles	true	false	true	false
194	Hotel Silver Home	NPR 1,055	Expedia	731 reviews	4.5 of 5 bubbles	true	true	false	false
195	Gokarna Forest Resort	NPR 13,126	Expedia	971 reviews	4.5 of 5 bubbles	false	true	true	false
196	Crowne Plaza Kathmandu-Soaltee	NPR 17,674	Expedia	1,016 reviews	4 of 5 bubbles	false	false	true	false
